Date,Town,State/Province,Latitude,Longitude,Number
7/6/2021,Marblehead,MA,42.5,-70.9,1
7/6/2021,Mashpee,MA,41.6,-70.5,1
7/6/2021,Mashpee,MA,41.6,-70.5,1
7/6/2021,New Bedford,MA,41.6,-70.9,1
7/6/2021,New Orleans,LA,30,-90,1
7/6/2021,New Orleans,LA,30,-90,1
7/6/2021,New York,NY,40.8,-74,1
7/6/2021,Newburyport,MA,42.8,-70.9,1
7/6/2021,Olanta,PA,40.9,-78.5,2
7/6/2021,Royalston,MA,42.7,-72.1,1
7/6/2021,South Hadley,MA,42.3,-72.6,2
7/6/2021,South Park,PA,40.3,-80,1
7/6/2021,State College,PA,40.8,-77.9,2
7/6/2021,Swampscott,MA,42.5,-70.9,1
7/6/2021,Swampscott,MA,42.5,-70.9,1
7/6/2021,West Nyack,NY,41.1,-74,1
7/6/2021,Weymouth,MA,42.2,-71,1
7/6/2021,Woburn,MA,42.5,-71.2,2
7/5/2021,Arch Cape,OR,45.8,-124,1
7/5/2021,Belington,WV,39.1,-79.9,1
7/5/2021,Bernardsville,NJ,40.7,-74.6,1
7/5/2021,Buffalo,NY,42.9,-78.8,1
7/5/2021,Camillus,NY,43,-76.3,1
7/5/2021,Columbus,OH,40.1,-83,1
7/5/2021,Denison,TX,33.8,-96.6,3
7/5/2021,Erie,PA,42.1,-80.1,1
7/5/2021,Fort Lee,NJ,40.9,-74,1
7/5/2021,Grand Isle,VT,44.8,-73.3,1
7/5/2021,Grand Manan,NB,44.6,-66.9,1
7/5/2021,Great Bend,KS,38.3,-98.7,1
7/5/2021,Hershey,PA,40.3,-76.6,1
7/5/2021,Ithaca,NY,42.5,-76.6,1
7/5/2021,Kawartha Lakes,ON,44.4,-78.7,1
7/5/2021,Neptune,NJ,40.2,-74,3
7/5/2021,New York,NY,40.8,-74,1
7/5/2021,Pittsfield,MA,42.5,-73.3,1
