month,year,lat_range,adult_first_sight_dates,adult_first_sight_number,adult_first_sight_distinct_dates
6,1998,5O+_OR_GREATER,1,1,1
6,1999,30+_TO_35,1,1,1
6,1999,35+_TO_40,3,3,3
6,1999,45+_TO_50,7,7,5
6,1999,4O+_TO_45,26,26,15
6,1999,5O+_OR_GREATER,1,1,1
6,2000,35+_TO_40,2,2,2
6,2000,45+_TO_50,8,8,6
6,2000,4O+_TO_45,38,38,12
6,2001,35+_TO_40,5,5,5
6,2001,45+_TO_50,21,21,14
6,2001,4O+_TO_45,37,37,16
6,2002,35+_TO_40,8,8,7
6,2002,45+_TO_50,19,19,13
6,2002,4O+_TO_45,53,53,21
6,2003,35+_TO_40,7,7,6
6,2003,45+_TO_50,26,26,15
6,2003,4O+_TO_45,63,63,26
6,2003,5O+_OR_GREATER,1,1,1
6,2004,35+_TO_40,13,13,11
6,2004,45+_TO_50,35,35,16
6,2004,4O+_TO_45,49,49,21
6,2005,30+_TO_35,3,3,3
6,2005,35+_TO_40,13,13,9
6,2005,45+_TO_50,58,58,25
6,2005,4O+_TO_45,106,106,28
6,2005,5O+_OR_GREATER,3,3,3
6,2006,35+_TO_40,3,3,3
6,2006,45+_TO_50,50,50,22
6,2006,4O+_TO_45,36,36,19
6,2006,5O+_OR_GREATER,11,11,8
6,2007,35+_TO_40,7,7,7
6,2007,45+_TO_50,49,49,21
6,2007,4O+_TO_45,66,66,27
6,2007,5O+_OR_GREATER,28,28,20
6,2008,20_OR_LESS,1,1,1
6,2008,35+_TO_40,11,11,9
6,2008,45+_TO_50,60,60,20
6,2008,4O+_TO_45,152,152,27
6,2009,30+_TO_35,2,2,2
6,2009,35+_TO_40,11,11,9
6,2009,45+_TO_50,51,51,25
6,2009,4O+_TO_45,103,103,28
6,2009,5O+_OR_GREATER,3,3,3
6,2010,20_OR_LESS,1,1,1
6,2010,25+_TO_30,2,2,2
6,2010,30+_TO_35,6,6,4
6,2010,35+_TO_40,30,30,18
6,2010,45+_TO_50,18,18,13
6,2010,4O+_TO_45,69,69,29
6,2010,5O+_OR_GREATER,5,5,5
6,2011,25+_TO_30,2,2,2
6,2011,30+_TO_35,4,4,4
6,2011,35+_TO_40,16,16,15
6,2011,45+_TO_50,62,62,20
6,2011,4O+_TO_45,132,132,23
6,2011,5O+_OR_GREATER,5,5,5
6,2012,25+_TO_30,3,3,3
6,2012,30+_TO_35,2,2,2
6,2012,35+_TO_40,13,13,8
6,2012,45+_TO_50,7,7,6
6,2012,4O+_TO_45,35,35,17
6,2012,5O+_OR_GREATER,28,28,13
6,2013,25+_TO_30,1,1,1
6,2013,30+_TO_35,8,8,5
6,2013,35+_TO_40,48,48,23
